game,game_comments,game_date,wrong,right
9155,,"Show #9302 - Tuesday, April 1, 2025",0,2
9154,Josh Weikert game 7.,"Show #9301 - Monday, March 31, 2025",2,1
9153,Josh Weikert game 6.,"Show #9300 - Friday, March 28, 2025",3,0
9152,Josh Weikert game 5.,"Show #9299 - Thursday, March 27, 2025",3,0
9151,Josh Weikert game 4.,"Show #9298 - Wednesday, March 26, 2025",3,0
9150,Josh Weikert game 3.,"Show #9297 - Tuesday, March 25, 2025",0,3
9149,Josh Weikert game 2.,"Show #9296 - Monday, March 24, 2025",2,1
9148,Josh Weikert game 1.,"Show #9295 - Friday, March 21, 2025",0,3
9147,Alex DeFrank game 5.,"Show #9294 - Thursday, March 20, 2025",2,1
9146,Alex DeFrank game 4.,"Show #9293 - Wednesday, March 19, 2025",2,1
9145,Alex DeFrank game 3.,"Show #9292 - Tuesday, March 18, 2025",3,0
9144,Alex DeFrank game 2.,"Show #9291 - Monday, March 17, 2025",2,1
9143,Alex DeFrank game 1.,"Show #9290 - Friday, March 14, 2025",0,3
9142,,"Show #9289 - Thursday, March 13, 2025",2,1
9141,,"Show #9288 - Wednesday, March 12, 2025",0,3
9140,,"Show #9287 - Tuesday, March 11, 2025",0,3
9139,Laura Faddah game 9.,"Show #9286 - Monday, March 10, 2025",2,1
9138,Laura Faddah game 8.,"Show #9285 - Friday, March 7, 2025",3,0
9137,2025 Jeopardy! Invitational Tournament final game 2.,"Show #9284 - Thursday, March 6, 2025",3,0
9136,2025 Jeopardy! Invitational Tournament final game 1.,"Show #9283 - Wednesday, March 5, 2025",0,3
9135,2025 Jeopardy! Invitational Tournament semifinal game 3.,"Show #9282 - Tuesday, March 4, 2025",1,2
9134,2025 Jeopardy! Invitational Tournament semifinal game 2.,"Show #9281 - Monday, March 3, 2025",2,1
9133,2025 Jeopardy! Invitational Tournament semifinal game 1.,"Show #9280 - Friday, February 28, 2025",0,3
9132,2025 Jeopardy! Invitational Tournament quarterfinal game 9.,"Show #9279 - Thursday, February 27, 2025",0,3
9130,2025 Jeopardy! Invitational Tournament quarterfinal game 8.,"Show #9278 - Wednesday, February 26, 2025",1,1
9129,2025 Jeopardy! Invitational Tournament quarterfinal game 7.,"Show #9277 - Tuesday, February 25, 2025",3,0
9128,2025 Jeopardy! Invitational Tournament quarterfinal game 6.,"Show #9276 - Monday, February 24, 2025",3,0
9127,2025 Jeopardy! Invitational Tournament quarterfinal game 5.,"Show #9275 - Friday, February 21, 2025",0,3
9126,2025 Jeopardy! Invitational Tournament quarterfinal game 4.,"Show #9274 - Thursday, February 20, 2025",1,2
9125,2025 Jeopardy! Invitational Tournament quarterfinal game 3.,"Show #9273 - Wednesday, February 19, 2025",3,0
9124,2025 Jeopardy! Invitational Tournament quarterfinal game 2.,"Show #9272 - Tuesday, February 18, 2025",2,1
9123,2025 Jeopardy! Invitational Tournament quarterfinal game 1.,"Show #9271 - Monday, February 17, 2025",0,2
9108,"2025 Tournament of Champions exhibition game for players with byes into the semifinals.
Played between the quarterfinals and the semifinals but televised after the finals.
Originally aired 2025-01-24 as audio-only on TuneIn.","Show #9270 - Friday, February 14, 2025",0,3
9121,2025 Tournament of Champions final game 5.,"Show #9269 - Thursday, February 13, 2025",0,3
9120,2025 Tournament of Champions final game 4.,"Show #9268 - Wednesday, February 12, 2025",1,2
9119,2025 Tournament of Champions final game 3.,"Show #9267 - Tuesday, February 11, 2025",2,1
9118,2025 Tournament of Champions final game 2.,"Show #9266 - Monday, February 10, 2025",1,2
9117,2025 Tournament of Champions final game 1.,"Show #9265 - Friday, February 7, 2025",3,0
9115,2025 Tournament of Champions semifinal game 3.,"Show #9264 - Thursday, February 6, 2025",1,2
9114,2025 Tournament of Champions semifinal game 2.,"Show #9263 - Wednesday, February 5, 2025",2,1
9113,2025 Tournament of Champions semifinal game 1.,"Show #9262 - Tuesday, February 4, 2025",1,2
9112,2025 Tournament of Champions quarterfinal game 6.,"Show #9261 - Monday, February 3, 2025",1,2
9111,2025 Tournament of Champions quarterfinal game 5.,"Show #9260 - Friday, January 31, 2025",3,0
9110,2025 Tournament of Champions quarterfinal game 4.,"Show #9259 - Thursday, January 30, 2025",3,0
9107,2025 Tournament of Champions quarterfinal game 3.,"Show #9258 - Wednesday, January 29, 2025",0,3
9106,2025 Tournament of Champions quarterfinal game 2.,"Show #9257 - Tuesday, January 28, 2025",3,0
9105,2025 Tournament of Champions quarterfinal game 1.,"Show #9256 - Monday, January 27, 2025",3,0
9102,2025 Champions Wildcard final game 1.,"Show #9254 - Thursday, January 23, 2025",1,2
9101,2025 Champions Wildcard semifinal game 3.,"Show #9253 - Wednesday, January 22, 2025",2,1
9100,2025 Champions Wildcard semifinal game 2.,"Show #9252 - Tuesday, January 21, 2025",2,1
9099,2025 Champions Wildcard semifinal game 1.,"Show #9251 - Monday, January 20, 2025",2,1
9097,2025 Champions Wildcard quarterfinal game 5.,"Show #9250 - Friday, January 17, 2025",3,0
9096,2025 Champions Wildcard quarterfinal game 4.,"Show #9249 - Thursday, January 16, 2025",3,0
9095,2025 Champions Wildcard quarterfinal game 3.,"Show #9248 - Wednesday, January 15, 2025",1,1
9094,2025 Champions Wildcard quarterfinal game 2.,"Show #9247 - Tuesday, January 14, 2025",3,0
9093,2025 Champions Wildcard quarterfinal game 1.,"Show #9246 - Monday, January 13, 2025",1,2
9090,"2024-2025 Second Chance competition week 2, final game 1.","Show #9244 - Thursday, January 9, 2025",1,2
9089,"2024-2025 Second Chance competition week 2, semifinal game 3.","Show #9243 - Wednesday, January 8, 2025",1,2
9088,"2024-2025 Second Chance competition week 2, semifinal game 2.","Show #9242 - Tuesday, January 7, 2025",1,2
9086,"2024-2025 Second Chance competition week 2, semifinal game 1.","Show #9241 - Monday, January 6, 2025",0,3
9084,"2024-2025 Second Chance competition week 1, final game 1.","Show #9239 - Thursday, January 2, 2025",2,1
9083,"2024-2025 Second Chance competition week 1, semifinal game 3.
With Happy New Year message from the Jeopardy! library.","Show #9238 - Wednesday, January 1, 2025",1,2
9082,"2024-2025 Second Chance competition week 1, semifinal game 2.
With Happy New Year message from the Jeopardy! control room.","Show #9237 - Tuesday, December 31, 2024",3,0
9080,"2024-2025 Second Chance competition week 1, semifinal game 1.
A large Jeopardy! logo is added to the set, hanging above upstage center.
With Happy Holidays message from the Jeopardy! crew.","Show #9236 - Monday, December 30, 2024",0,3
9079,Laura Faddah game 7.,"Show #9235 - Friday, December 27, 2024",2,1
9078,Laura Faddah game 6.,"Show #9234 - Thursday, December 26, 2024",0,3
9077,Laura Faddah game 5.,"Show #9233 - Wednesday, December 25, 2024",2,1
9076,Laura Faddah game 4.,"Show #9232 - Tuesday, December 24, 2024",2,1
9075,Laura Faddah game 3.,"Show #9231 - Monday, December 23, 2024",2,0
9074,Laura Faddah game 2.,"Show #9230 - Friday, December 20, 2024",3,0
9073,Laura Faddah game 1.,"Show #9229 - Thursday, December 19, 2024",3,0
9072,Ashley Chan game 5.,"Show #9228 - Wednesday, December 18, 2024",0,3
9071,Ashley Chan game 4.,"Show #9227 - Tuesday, December 17, 2024",0,3
9070,Ashley Chan game 3.,"Show #9226 - Monday, December 16, 2024",3,0
9069,Ashley Chan game 2.,"Show #9225 - Friday, December 13, 2024",2,1
9068,Ashley Chan game 1.,"Show #9224 - Thursday, December 12, 2024",3,0
9067,,"Show #9223 - Wednesday, December 11, 2024",0,3
9066,,"Show #9222 - Tuesday, December 10, 2024",3,0
9065,,"Show #9221 - Monday, December 9, 2024",3,0
9064,,"Show #9220 - Friday, December 6, 2024",1,2
9063,,"Show #9219 - Thursday, December 5, 2024",3,0
9062,,"Show #9218 - Wednesday, December 4, 2024",1,2
9061,,"Show #9217 - Tuesday, December 3, 2024",3,0
9060,,"Show #9216 - Monday, December 2, 2024",3,0
9059,,"Show #9215 - Friday, November 29, 2024",3,0
9058,Kevin Laskowski game 4.,"Show #9214 - Thursday, November 28, 2024",0,3
9057,Kevin Laskowski game 3.,"Show #9213 - Wednesday, November 27, 2024",1,2
9056,Kevin Laskowski game 2.,"Show #9212 - Tuesday, November 26, 2024",2,1
9055,Kevin Laskowski game 1.,"Show #9211 - Monday, November 25, 2024",2,1
9054,Mehal Shah game 3.,"Show #9210 - Friday, November 22, 2024",1,2
9053,Mehal Shah game 2.,"Show #9209 - Thursday, November 21, 2024",2,1
9052,Mehal Shah game 1.,"Show #9208 - Wednesday, November 20, 2024",3,0
